# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 33K of event 'branch-instructions'
# Event count (approx.): 4576285169
#
# Overhead  Command  Shared Object               Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ..........................  ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.00%  test     test                          [.] std::remove_reference<std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&>::type&& std::move<std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&>(std::tuple<std::__future_base::_Result<void>*, std::__future_base::_Result_base::_Deleter>&)
     0.00%  test     [kernel.kallsyms]             [k] cpumask_any_and_distribute
     0.00%  test     [nvidia]                      [k] _nv025675rm
     0.00%  test     [kernel.kallsyms]             [k] xas_store
     0.00%  test     [kernel.kallsyms]             [k] pick_next_task_dl
     0.00%  test     libtbb.so.12.12               [.] tbb::detail::r1::market::update_allotment()
     0.00%  test     test                          [.] std::sqrt(float)
     0.00%  test     test                          [.] std::_Function_base::_Base_manager<ThreadPool::EnQueue<PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}>(PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}&&)::{lambda()#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     0.00%  test     libjpeg.so.8.2.2              [.] 0x00000000000154c0
     0.00%  test     [kernel.kallsyms]             [k] lru_gen_del_folio.constprop.0
     0.00%  test     [kernel.kallsyms]             [k] __irqentry_text_end
     0.00%  test     libopencv_core.so.4.9.0       [.] tbb::detail::d1::start_for<tbb::detail::d1::blocked_range<int>, cv::parallel::tbb::ParallelForBackend::CallbackProxy, tbb::detail::d1::auto_partitioner const>::finalize(tbb::detail::d1::execution_data const&)
     0.00%  test     libopencv_imgcodecs.so.4.9.0  [.] cv::JpegDecoder::readData(cv::Mat&)
     0.00%  test     [kernel.kallsyms]             [k] mas_walk
     0.00%  test     [kernel.kallsyms]             [k] newidle_balance
     0.00%  test     [kernel.kallsyms]             [k] common_interrupt
     0.00%  test     test                          [.] std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::begin()
     0.00%  test     [kernel.kallsyms]             [k] kick_process
     0.00%  test     libopencv_core.so.4.9.0       [.] tbb::detail::d1::start_for<tbb::detail::d1::blocked_range<int>, cv::parallel::tbb::ParallelForBackend::CallbackProxy, tbb::detail::d1::auto_partitioner const>::execute(tbb::detail::d1::execution_data&)
     0.00%  test     libc.so.6                     [.] __GI___futex_abstimed_wait_cancelable64
     0.00%  test     [kernel.kallsyms]             [k] intel_thermal_interrupt
     0.00%  test     test                          [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_check_length(unsigned long, unsigned long, char const*) const
     0.00%  test     [kernel.kallsyms]             [k] native_sched_clock
     0.00%  test     libjpeg.so.8.2.2              [.] 0x000000000004c6ad
     0.00%  test     [kernel.kallsyms]             [k] error_entry
     0.00%  test     [kernel.kallsyms]             [k] ktime_get_coarse_real_ts64
     0.00%  test     test                          [.] std::shared_ptr<std::packaged_task<void ()> >::shared_ptr<std::allocator<std::packaged_task<void ()> >, std::_Bind<PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1} ()> >(std::_Sp_alloc_shared_tag<std::allocator<std::packaged_task<void ()> > >, std::_Bind<PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1} ()>&&)
     0.00%  test     [kernel.kallsyms]             [k] mas_wr_spanning_store.isra.0
     0.00%  test     libjpeg.so.8.2.2              [.] 0x000000000004bba3
     0.00%  test     [kernel.kallsyms]             [k] __pte_offset_map_lock
     0.00%  test     [kernel.kallsyms]             [k] jbd2__journal_start
     0.00%  test     [kernel.kallsyms]             [k] read_tsc
     0.00%  test     [kernel.kallsyms]             [k] update_dl_rq_load_avg
     0.00%  test     [kernel.kallsyms]             [k] can_change_pte_writable
     0.00%  test     [kernel.kallsyms]             [k] irqentry_enter
     0.00%  test     test                          [.] std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)>, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)>, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)>, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>*)
     0.00%  test     [kernel.kallsyms]             [k] run_posix_cpu_timers
     0.00%  test     test                          [.] std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_allocate(unsigned long)
     0.00%  test     test                          [.] decltype (::new ((void*)(0)) std::packaged_task<void ()>((declval<std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)> >)())) std::construct_at<std::packaged_task<void ()>, std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)> >(std::packaged_task<void ()>*, std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)>&&)
     0.00%  test     [kernel.kallsyms]             [k] __ext4_journal_get_write_access
     0.00%  test     [kernel.kallsyms]             [k] rmqueue
     0.00%  test     [kernel.kallsyms]             [k] switch_fpu_return
     0.00%  test     [kernel.kallsyms]             [k] vma_wants_writenotify
     0.00%  test     [kernel.kallsyms]             [k] hrtimer_forward
     0.00%  test     [kernel.kallsyms]             [k] hrtimer_update_next_event
     0.00%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     0.00%  test     [kernel.kallsyms]             [k] __update_idle_core
     0.00%  test     [kernel.kallsyms]             [k] futex_wait_queue
     0.00%  test     libstdc++.so.6.0.30           [.] std::__atomic_futex_unsigned_base::_M_futex_wait_until(unsigned int*, unsigned int, bool, std::chrono::duration<long, std::ratio<1l, 1l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> >)
     0.00%  test     test                          [.] std::__future_base::_Result<void>::_M_destroy()
     0.00%  test     [kernel.kallsyms]             [k] __fsnotify_parent
     0.00%  test     [kernel.kallsyms]             [k] calculate_imbalance
     0.00%  test     [kernel.kallsyms]             [k] memset_orig
     0.00%  test     test                          [.] std::once_flag::_Prepare_execution::~_Prepare_execution()
     0.00%  test     libstdc++.so.6.0.30           [.] free@plt
     0.00%  test     test                          [.] void _mm512_memcpy<unsigned char>(unsigned char*, unsigned char const*, unsigned long)
     0.00%  test     libjpeg.so.8.2.2              [.] 0x0000000000038a5a
     0.00%  test     [kernel.kallsyms]             [k] mprotect_fixup
     0.00%  test     test                          [.] __gnu_cxx::__normal_iterator<std::future<void>*, std::vector<std::future<void>, std::allocator<std::future<void> > > >::operator++()
     0.00%  test     [kernel.kallsyms]             [k] __memcg_kmem_charge_page
     0.00%  test     [kernel.kallsyms]             [k] begin_current_label_crit_section
     0.00%  test     libc.so.6                     [.] __memset_evex_unaligned_erms
     0.00%  test     [kernel.kallsyms]             [k] resched_curr
     0.00%  test     libhwloc.so.15.5.4            [.] hwloc_linux_set_tid_cpubind
     0.00%  test     [kernel.kallsyms]             [k] crc32c_pcl_intel_update
     0.00%  test     test                          [.] void std::__invoke_impl<void, PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1}&>(std::__invoke_other, PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1}&)
     0.00%  test     test                          [.] std::_Function_base::~_Function_base()
     0.00%  test     test                          [.] ThreadPool::EnQueue<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}&, int&, int&>(PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}&, int&, int&)::{lambda()#1}&& std::forward<ThreadPool::EnQueue<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}&, int&, int&>(ThreadPool::EnQueue<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}&, int&, int&>(PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}&, int&, int&)::{lambda()#1}&&, int&, int&)::{lambda()#1}>(std::remove_reference<ThreadPool::EnQueue<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}&, int&, int&>(PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}&, int&, int&)::{lambda()#1}>::type&)
     0.00%  test     [kernel.kallsyms]             [k] pfn_pte
     0.00%  test     libjpeg.so.8.2.2              [.] 0x0000000000005bda
     0.00%  test     [kernel.kallsyms]             [k] __sysvec_apic_timer_interrupt
     0.00%  test     [kernel.kallsyms]             [k] workingset_update_node
     0.00%  test     test                          [.] std::_Function_base::_Base_manager<std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1} (float*, float*, unsigned char*, int, int, int)>, std::allocator<int>, void ()>::_M_run()::{lambda()#1}, void> >::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
     0.00%  test     ld-linux-x86-64.so.2          [.] __tls_get_addr
     0.00%  test     [kernel.kallsyms]             [k] build_detached_freelist
     0.00%  test     [kernel.kallsyms]             [k] available_idle_cpu
     0.00%  test     [kernel.kallsyms]             [k] psi_task_change
     0.00%  test     [kernel.kallsyms]             [k] futex_q_lock
     0.00%  test     [kernel.kallsyms]             [k] __queue_work
     0.00%  test     libc.so.6                     [.] __GI___pthread_mutex_unlock_usercnt
     0.00%  test     [kernel.kallsyms]             [k] make_vfsgid
     0.00%  test     [kernel.kallsyms]             [k] lockref_put_return
     0.00%  test     [kernel.kallsyms]             [k] flush_tlb_func
     0.00%  test     libstdc++.so.6.0.30           [.] __once_proxy
     0.00%  test     [kernel.kallsyms]             [k] dequeue_task
     0.00%  test     test                          [.] std::__shared_ptr_access<std::packaged_task<void ()>, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
     0.00%  test     test                          [.] std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1} (float*, float*, unsigned char*, int, int, int)>, std::allocator<int>, void ()>::_M_run()::{lambda()#1}, void> >::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
     0.00%  test     [kernel.kallsyms]             [k] kfree
     0.00%  test     [kernel.kallsyms]             [k] security_inode_permission
     0.00%  test     [kernel.kallsyms]             [k] update_cfs_group
     0.00%  test     [kernel.kallsyms]             [k] folio_add_lru_vma
     0.00%  test     test                          [.] std::__future_base::_Task_state<std::_Bind<PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1} ()>, std::allocator<int>, void ()>::_M_run()
     0.00%  test     [kernel.kallsyms]             [k] pte_offset_map_nolock
     0.00%  test     [kernel.kallsyms]             [k] check_cpu_stall
     0.00%  test     [kernel.kallsyms]             [k] osq_lock
     0.00%  test     [kernel.kallsyms]             [k] folio_add_lru
     0.00%  test     [kernel.kallsyms]             [k] scheduler_tick
     0.00%  test     [kernel.kallsyms]             [k] osq_unlock
     0.00%  test     libstdc++.so.6.0.30           [.] operator delete(void*, unsigned long)
     0.00%  test     libhwloc.so.15.5.4            [.] read_intel_cores_exttopoenum
     0.00%  test     [kernel.kallsyms]             [k] finish_task_switch.isra.0
     0.00%  test     [kernel.kallsyms]             [k] update_process_times
     0.00%  test     [kernel.kallsyms]             [k] native_write_msr
     0.00%  test     libopencv_imgcodecs.so.4.9.0  [.] cv::findEncoder(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [clone .isra.0]
     0.00%  test     [kernel.kallsyms]             [k] __raise_softirq_irqoff
     0.00%  test     [kernel.kallsyms]             [k] timerqueue_add
     0.00%  test     [kernel.kallsyms]             [k] schedule
     0.00%  test     [kernel.kallsyms]             [k] truncate_cleanup_folio
     0.00%  test     [kernel.kallsyms]             [k] __anon_vma_interval_tree_remove
     0.00%  test     [nvidia]                      [k] _nv033669rm
     0.00%  test     [kernel.kallsyms]             [k] dequeue_rt_stack
     0.00%  test     test                          [.] ThreadPool::EnQueue<PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}>(PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}&&)::{lambda()#1}::operator()() const
     0.00%  test     [kernel.kallsyms]             [k] mas_alloc_nodes
     0.00%  test     [kernel.kallsyms]             [k] vma_prepare
     0.00%  test     [kernel.kallsyms]             [k] __next_timer_interrupt
     0.00%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)
     0.00%  test     [kernel.kallsyms]             [k] rb_erase
     0.00%  test     test                          [.] std::pair<int, int>&& std::forward<std::pair<int, int> >(std::remove_reference<std::pair<int, int> >::type&)
     0.00%  test     [kernel.kallsyms]             [k] detach_tasks
     0.00%  test     [kernel.kallsyms]             [k] irq_enter_rcu
     0.00%  test     [nvidia]                      [k] _nv011241rm
     0.00%  test     test                          [.] std::__future_base::_Task_state<std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)>, std::allocator<int>, void ()>::_M_run()::{lambda()#1}* std::__addressof<std::__future_base::_Task_state<std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)>, std::allocator<int>, void ()>::_M_run()::{lambda()#1}>(std::__future_base::_Task_state<std::_Bind<PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4} (int, int)>, std::allocator<int>, void ()>::_M_run()::{lambda()#1}&)
     0.00%  test     [kernel.kallsyms]             [k] enqueue_task_fair
     0.00%  test     [kernel.kallsyms]             [k] pte_alloc_one
     0.00%  test     [kernel.kallsyms]             [k] tick_do_update_jiffies64
     0.00%  test     test                          [.] std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1} ()>, std::allocator<int>, void ()>::_M_run()::{lambda()#1}, void> >::_M_invoke(std::_Any_data const&)
     0.00%  test     test                          [.] std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1} (float*, float*, unsigned char*, int, int, int)>, std::allocator<int>, void ()>::_M_run()::{lambda()#1}, void>::operator()() const
     0.00%  test     [kernel.kallsyms]             [k] __mod_lruvec_page_state
     0.00%  test     [kernel.kallsyms]             [k] __set_cpus_allowed_ptr_locked
     0.00%  test     [kernel.kallsyms]             [k] _raw_spin_rq_lock_irqsave
     0.00%  test     [kernel.kallsyms]             [k] update_group_capacity
     0.00%  test     [kernel.kallsyms]             [k] rcu_core
     0.00%  test     [kernel.kallsyms]             [k] mem_cgroup_from_task
     0.00%  test     [kernel.kallsyms]             [k] trigger_load_balance
     0.00%  test     test                          [.] std::function<void ()>::operator()() const
     0.00%  perf-ex  [kernel.kallsyms]             [k] perf_event_enable_on_exec
     0.00%  test     [kernel.kallsyms]             [k] sync_regs
     0.00%  test     [kernel.kallsyms]             [k] hugepage_vma_check
     0.00%  test     [kernel.kallsyms]             [k] _raw_spin_unlock_irq
     0.00%  test     [kernel.kallsyms]             [k] __pte_offset_map
     0.00%  test     test                          [.] std::_Function_handler<void (), ThreadPool::EnQueue<PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}>(PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}&&)::{lambda()#1}>::_M_invoke(std::_Any_data const&)
     0.00%  test     [kernel.kallsyms]             [k] __bitmap_intersects
     0.00%  test     [kernel.kallsyms]             [k] asm_sysvec_reschedule_ipi
     0.00%  test     [kernel.kallsyms]             [k] ktime_get
     0.00%  test     [kernel.kallsyms]             [k] x86_pmu_enable
     0.00%  test     [kernel.kallsyms]             [k] policy_nodemask
     0.00%  test     [kernel.kallsyms]             [k] tlb_gather_mmu
     0.00%  test     [kernel.kallsyms]             [k] __kmem_cache_free
     0.00%  test     [nvidia]                      [k] os_semaphore_may_sleep
     0.00%  test     test                          [.] std::shared_ptr<std::__future_base::_Task_state_base<void ()> >::~shared_ptr()
     0.00%  test     [kernel.kallsyms]             [k] __do_softirq
     0.00%  test     [kernel.kallsyms]             [k] check_preempt_curr
     0.00%  test     test                          [.] std::__invoke_result<PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}&>::type std::__invoke<PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}&>(PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}&)
     0.00%  test     test                          [.] std::__shared_ptr<std::packaged_task<void ()>, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
     0.00%  test     [x86_pkg_temp_thermal]        [k] pkg_thermal_notify
     0.00%  test     libjpeg.so.8.2.2              [.] jinit_memory_mgr
     0.00%  test     test                          [.] std::_Sp_counted_ptr_inplace<std::packaged_task<void ()>, std::allocator<std::packaged_task<void ()> >, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
     0.00%  test     test                          [.] void std::allocator_traits<std::allocator<std::packaged_task<void ()> > >::destroy<std::packaged_task<void ()> >(std::allocator<std::packaged_task<void ()> >&, std::packaged_task<void ()>*)
     0.00%  test     test                          [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2}::operator()() const
     0.00%  test     libc.so.6                     [.] __GI___lll_lock_wait
     0.00%  test     [kernel.kallsyms]             [k] lapic_next_deadline
     0.00%  test     [kernel.kallsyms]             [k] blkcg_maybe_throttle_current
     0.00%  test     [nvidia]                      [k] nvidia_isr
     0.00%  test     [kernel.kallsyms]             [k] __refill_stock
     0.00%  test     [kernel.kallsyms]             [k] rb_next
     0.00%  test     [nvidia]                      [k] _nv039972rm
     0.00%  test     [kernel.kallsyms]             [k] __bitmap_andnot
     0.00%  test     [nvidia]                      [k] _nv042363rm
     0.00%  test     [kernel.kallsyms]             [k] account_user_time
     0.00%  test     [nvidia]                      [k] _nv013211rm
     0.00%  test     libc.so.6                     [.] getenv
     0.00%  test     [kernel.kallsyms]             [k] handle_irq_event
     0.00%  test     [kernel.kallsyms]             [k] affine_move_task
     0.00%  test     libc.so.6                     [.] isalnum
     0.00%  test     test                          [.] void std::destroy_at<std::packaged_task<void ()> >(std::packaged_task<void ()>*)
     0.00%  test     test                          [.] std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>::unique_ptr(std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>&&)
     0.00%  test     [kernel.kallsyms]             [k] check_preempt_wakeup
     0.00%  test     [x86_pkg_temp_thermal]        [k] pkg_thermal_rate_control
     0.00%  test     [kernel.kallsyms]             [k] file_free_rcu
     0.00%  test     [nvidia]                      [k] _nv011240rm
     0.00%  test     [nvidia]                      [k] _nv032816rm
     0.00%  test     [kernel.kallsyms]             [k] account_process_tick
     0.00%  test     [kernel.kallsyms]             [k] futex_wait_setup
     0.00%  test     [kernel.kallsyms]             [k] alloc_pages
     0.00%  test     [kernel.kallsyms]             [k] sysvec_call_function
     0.00%  test     [kernel.kallsyms]             [k] refill_stock
     0.00%  test     [kernel.kallsyms]             [k] page_counter_try_charge
     0.00%  test     [kernel.kallsyms]             [k] rcu_note_context_switch
     0.00%  test     [kernel.kallsyms]             [k] native_read_msr
     0.00%  test     libopencv_core.so.4.9.0       [.] cv::Mat::total() const
     0.00%  test     test                          [.] std::_Sp_counted_ptr_inplace<std::__future_base::_Task_state<std::_Bind<PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda()#2} ()>, std::allocator<int>, void ()>, std::allocator<int>, (__gnu_cxx::_Lock_policy)2>::_Impl::_M_alloc()
     0.00%  test     test                          [.] std::__future_base::_Result<void>::~_Result()
     0.00%  test     test                          [.] std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::end() const
     0.00%  test     [kernel.kallsyms]             [k] calc_global_load_tick
     0.00%  test     test                          [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_create(unsigned long&, unsigned long)
     0.00%  test     [kernel.kallsyms]             [k] access_error
     0.00%  test     [kernel.kallsyms]             [k] gup_pte_range
     0.00%  test     [kernel.kallsyms]             [k] asm_sysvec_apic_timer_interrupt
     0.00%  test     [kernel.kallsyms]             [k] __bitmap_subset
     0.00%  perf-ex  [kernel.kallsyms]             [k] native_write_msr
     0.00%  test     [kernel.kallsyms]             [k] __sched_setaffinity
     0.00%  test     [kernel.kallsyms]             [k] wake_up_var


# Samples: 41K of event 'bus-cycles'
# Event count (approx.): 384222478
#
# Overhead  Command  Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  .......  ............................  .................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    19.00%  test     test                          [.] PThreadWithPool::ComputeGradients(float*, unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     7.00%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#1}::operator()(int, int) const
     6.79%  test     test                          [.] PThreadWithPool::ReduceNonMaximum(float*, float*, unsigned char*, int, int)::{lambda(float*, float*, unsigned char*, int, int, int)#1}::operator()(float*, float*, unsigned char*, int, int, int) const
     6.75%  test     test                          [.] PThreadWithPool::PerformEdgeHysteresis(unsigned char*, unsigned char*, int, int)::{lambda()#1}::operator()() const
     6.66%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#2}::operator()(int, int) const
     5.85%  test     test                          [.] PerformCanny(cv::Mat&, cv::Mat const&, Canny*, std::basic_ofstream<char, std::char_traits<char> >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned int)
     4.75%  test     test                          [.] _mm512_arctan2(float __vector(16), float __vector(16))
     4.18%  test     test                          [.] PThreadWithPool::PerformGaussianBlur(unsigned char*, unsigned char const*, int, int)::{lambda(int, int)#4}::operator()(int, int) const
     2.73%  test     test                          [.] void _mm512_memcpy<float>(float*, float const*, unsigned long)
     2.68%  test     libopencv_imgproc.so.4.9.0    [.] cv::hal::opt_AVX2::(anonymous namespace)::CvtColorLoop_Invoker<cv::hal::opt_AVX2::(anonymous namespace)::RGB2Gray<unsigned char> >::operator()(cv::Range const&) const
     2.30%  test     test                          [.] unsigned char& cv::Mat::at<unsigned char>(int, int)
     1.76%  test     test                          [.] PThreadWithPool::PerformDoubleThresholding(unsigned char*, float*, int, int, int, int)::{lambda()#1}::operator()() const
     1.69%  test     [kernel.kallsyms]             [k] clear_page_erms
     0.99%  test     [kernel.kallsyms]             [k] asm_exc_page_fault
     0.83%  test     [kernel.kallsyms]             [k] try_charge_memcg
     0.62%  test     libopencv_imgproc.so.4.9.0    [.] cv::resizeGeneric_Invoker<cv::HResizeLinear<unsigned char, int, short, 2048, cv::HResizeLinearVecU8_X4>, cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u> >::operator()(cv::Range const&) const
     0.62%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b8
     0.55%  test     [kernel.kallsyms]             [k] sync_regs
     0.53%  test     libjpeg.so.8.2.2              [.] 0x00000000000059dd
     0.52%  test     [kernel.kallsyms]             [k] get_mem_cgroup_from_mm
     0.50%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7bb
     0.47%  test     [kernel.kallsyms]             [k] rmqueue_bulk
     0.42%  test     [kernel.kallsyms]             [k] perf_adjust_freq_unthr_context
     0.40%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d8
     0.38%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d3
     0.36%  test     test                          [.] std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned long)
     0.36%  test     libjpeg.so.8.2.2              [.] 0x00000000000059da
     0.36%  test     [kernel.kallsyms]             [k] native_queued_spin_lock_slowpath
     0.36%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7d5
     0.33%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7b0
     0.33%  test     libopencv_imgproc.so.4.9.0    [.] cv::VResizeLinear<unsigned char, int, short, cv::FixedPtCast<int, unsigned char, 22>, cv::VResizeLinearVec_32s8u>::operator()(int const**, unsigned char*, short const*, int) const
     0.31%  test     [kernel.kallsyms]             [k] down_read_trylock
     0.31%  test     libc.so.6                     [.] __memmove_evex_unaligned_erms
     0.31%  test     libjpeg.so.8.2.2              [.] 0x0000000000008e01
     0.27%  test     libjpeg.so.8.2.2              [.] 0x000000000003d6a0
     0.27%  test     libjpeg.so.8.2.2              [.] 0x00000000000059d7
     0.23%  test     libjpeg.so.8.2.2              [.] 0x000000000003d7a0
     0.22%  test     [kernel.kallsyms]             [k] __handle_mm_fault
     0.21%  test     [kernel.kallsyms]             [k] _compound_head
     0.20%  test     [kernel.kallsyms]             [k] __rcu_read_unlock
     0.20%  test     [kernel.kallsyms]             [k] up_read
     0.19%  test     libtbb.so.12.12               [.] tbb::detail::d1::task* tbb::detail::r1::task_dispatcher::local_wait_for_all<false, tbb::detail::r1::outermost_worker_waiter>(tbb::detail::d1::task*, tbb::detail::r1::outermost_worker_waiter&)
     0.19%  test     [kernel.kallsyms]             [k] __rcu_read_lock
     0.19%  test     [kernel.kallsyms]             [k] lru_gen_add_folio
     0.19%  test     [kernel.kallsyms]             [k] _raw_spin_lock
